,address,zipcode,price,zestimate,baths,bdrm,lotsize_sqft,built,sqft,mortag_15,mortag_30,tax_ast,daysOnZillow,price_date,POIs,min_dist_per
35,15975 Coleman Valley Rd,95465.0,749000.0,941545.0,2,3,104544,1972,1564,2.47,3.113,448353.0,8.0,2021-03-12,"(38.41160583, '-122.9669952')",13312.2326
36,213 Deanna Pl,95492.0,749000.0,814634.0,2,3,8276,1989,1974,2.47,3.113,334327.0,6.0,2021-03-14,"(38.53288651, '-122.7876663')",9983.797321
37,2181 Lansbury St,95404.0,600000.0,612021.0,3,4,7457,1994,1652,2.47,3.113,384323.0,5.0,2021-03-15,"(38.41700745, '-122.707756')",7225.572045
38,9532 Clint Ct,95421.0,599000.0,608280.0,3,3,98881,1976,2289,2.47,3.113,530400.0,145.0,2021-03-05,"(38.54761887, '-123.2443924')",13825.01185
39,2275 Rowe Dr,95403.0,599000.0,613767.0,1,3,6080,1950,1207,2.47,3.113,256518.0,5.0,2021-03-15,"(38.46233368, '-122.719368')",5863.530007
40,1509 Heather Dr,95401.0,550000.0,570941.0,2,3,5998,1964,1232,2.341,3.061,562438.0,5.0,2021-03-15,"(38.43664169, '-122.7359848')",8161.885584000001
41,1784 Riverview Dr,95448.0,895000.0,931140.0,2,2,6699,1934,1168,2.678,3.177,440790.0,1.0,2021-03-19,"(38.62276459, '-122.8443832')",5886.364737
42,2152 Nectarine Dr,95404.0,654000.0,667103.0,3,3,3502,2007,1769,2.47,3.113,628000.0,2.0,2021-03-18,"(38.42399216, '-122.6935654')",5775.148520000001
43,18480 1st Ave,95476.0,499000.0,518000.0,2,2,5501,1925,1064,2.341,3.061,264148.0,3.0,2011-11-01,"(38.3103981, '-122.4787979')",14481.124269999998
44,1951 Goodwin Ave,94951.0,799000.0,817465.0,1,2,217800,1910,980,2.47,3.113,76197.0,8.0,2021-03-13,"(38.29401779, '-122.6828308')",17415.01027
45,484 Crivelli Dr,95476.0,659000.0,684092.0,2,3,6499,1977,1366,2.47,3.113,91546.0,5.0,2021-03-16,"(38.32382584, '-122.4938812')",12805.220659999999
46,2004 Chetwood Dr,94952.0,725000.0,746753.0,3,3,2091,2000,1232,2.47,3.113,599000.0,2.0,2021-03-18,"(38.22851181, '-122.6222458')",22985.23176
47,649 Nikki Dr,94954.0,599999.0,612020.0,2,3,5501,1980,952,2.47,3.113,360542.0,5.0,2021-03-15,"(38.25955582, '-122.6436768')",20083.25889
48,538 Riley St,95404.0,470000.0,480915.0,2,2,4151,1920,1009,2.341,3.061,428760.0,5.0,2021-03-15,"(38.44379807, '-122.7152863')",6196.730461
49,7279 Adrian Dr,94928.0,588000.0,599781.0,2,3,6499,1960,1269,2.47,3.113,463278.0,2.0,2021-03-19,"(38.33645248, '-122.7055359')",13685.26721
50,8839 Oak Trail Ct,95409.0,625000.0,637522.0,2,3,9500,1981,2025,2.47,3.113,552469.0,2.0,2021-03-19,"(38.43054581, '-122.575737')",494.641388
51,313 Portofino Way,95425.0,529000.0,581867.0,2,3,7200,1999,1283,2.341,3.061,350834.0,8.0,2021-03-12,"(38.81547928, '-123.0288467')",12598.5608
52,18534 White Oak Dr,95476.0,1300000.0,1326047.0,2,3,87120,1972,2171,2.678,3.177,369628.0,2.0,2021-03-18,"(38.30287933, '-122.5381851')",14382.021690000001
53,7605 Bodega Ave,95472.0,1250000.0,1320187.0,2,4,50965,1947,1628,2.678,3.177,97664.0,5.0,2021-03-16,"(38.39793015, '-122.8289032')",17330.274530000002
54,14662 Cherry St,95446.0,488000.0,545146.0,2,3,4500,1938,1456,2.341,3.061,363099.0,18.0,2021-03-15,"(38.49838638, '-123.0166397')",4357.165583
55,22093 Ruoff Rd,95450.0,699000.0,760332.0,3,2,52707,2001,1618,2.47,3.113,747281.0,64.0,2021-02-23,"(38.54564285, '-123.2782288')",16621.87057
56,2391 Julio Ln,95401.0,614500.0,637897.0,2,3,5662,1979,1240,2.47,3.113,275724.0,3.0,2021-03-18,"(38.43456268, '-122.7634201')",10426.72414
57,1136 Navarro St,95401.0,650000.0,669502.0,3,4,5667,1987,1786,2.47,3.113,588969.0,4.0,2021-03-16,"(38.44711304, '-122.7540817')",9191.867495
58,26828 River Rd,95425.0,1475000.0,1591778.0,3,3,54885,1991,2700,2.678,3.177,1428000.0,9.0,2021-03-11,"(38.7755661, '-122.9730606')",9663.282089
59,1082 Camino Coronado,94928.0,490000.0,504702.0,2,3,4948,1971,1527,2.341,3.061,94844.0,4.0,2021-03-16,"(38.34291458, '-122.6901703')",12461.15752
60,117 Primrose Ln,95425.0,725000.0,721209.0,3,4,7152,2003,2116,2.47,3.113,564822.0,3.0,2021-03-17,"(38.78604126, '-123.02108')",9684.276994
61,74 Balma Ln,94952.0,1050000.0,1066321.0,2,3,43560,1988,2089,2.678,3.177,392929.0,5.0,2021-03-15,"(38.30407715, '-122.7290573')",17826.31787
62,688 Elsa Dr,95407.0,580000.0,598073.0,2,3,5000,1992,1297,2.47,3.113,283673.0,5.0,2021-03-15,"(38.40465164, '-122.7091827')",8032.06552
63,37768 Breaker Reach #1,95497.0,2100000.0,,4,3,17372,1984,2402,2.678,3.177,12600.0,9.0,2021-03-12,"(38.71815109, '-123.4601212')",30016.036610000003
64,10601 Chalk Hill Rd,95448.0,4100000.0,4201078.0,4,3,223898,2018,2837,2.678,3.177,2202577.0,3.0,2021-03-17,"(38.57772446, '-122.7760162')",10630.96388
65,388 Del Mar Point,95497.0,4950000.0,5522202.0,2,3,17576,1983,3100,2.678,3.177,2236860.0,24.0,2021-02-24,"(38.74190521, '-123.5122223')",35017.37808
66,2157 Little River Ave,95401.0,655000.0,674652.0,3,4,5580,1987,1786,2.47,3.113,546521.0,2.0,2021-03-18,"(38.44692612, '-122.7539902')",9190.150184
67,14900 Canyon 1 Rd,95446.0,349900.0,404579.0,1,2,5000,1935,824,2.341,3.061,205875.0,369.0,2021-03-12,"(38.52202988, '-122.9767761')",1221.257566
68,206 Partridge Ct,95492.0,665000.0,678672.0,3,3,6560,1991,1800,2.47,3.113,594274.0,8.0,2021-03-12,"(38.55112839, '-122.8103027')",7583.234676000001
69,710 Petaluma Blvd S,94952.0,599900.0,622741.0,1,3,7501,1903,1416,2.47,3.113,222789.0,6.0,2021-03-15,"(38.22966385, '-122.6304321')",23024.74374
70,14216 Mill St,95446.0,765000.0,852877.0,2,3,10890,1940,1487,2.47,3.113,589500.0,26.0,2021-03-12,"(38.50397873, '-123.000679')",3491.7473200000004
71,1810 Arbor Ave,95404.0,779000.0,802373.0,2,3,5998,1948,1402,2.47,3.113,323956.0,4.0,2021-03-16,"(38.45754242, '-122.7122345')",5369.139583
72,22132 Ruoff Rd,95450.0,849000.0,923474.0,2,2,66211,1995,1755,2.47,3.113,887180.0,21.0,2021-02-28,"(38.54461288, '-123.2817612')",16949.702980000002
73,6453 Meadowridge Dr,95409.0,769000.0,784408.0,2,3,4390,1978,1800,2.47,3.113,626391.0,3.0,2021-03-18,"(38.44779968, '-122.6128311')",253.1632502
74,14655 Drake Rd,95446.0,832000.0,547178.0,3,5,5601,1985,2109,2.47,3.113,504900.0,9.0,2021-03-11,"(38.51490021, '-122.9772491')",1952.4281489999998
75,7906 Ferrari Way,95492.0,749000.0,826940.0,3,4,4399,2006,2435,2.47,3.113,530458.0,2.0,2021-03-18,"(38.53305435, '-122.8129044')",7926.168893999999
76,1082 Carol Ln,95404.0,735000.0,747810.0,3,4,4174,2021,2246,2.47,3.113,4410.0,22.0,2021-02-27,"(38.43162537, '-122.6927032')",5362.46266
77,112 Grayson Way,95448.0,689900.0,706908.0,3,3,3484,2017,1615,2.47,3.113,656370.0,32.0,2021-03-18,"(38.63491821, '-122.8757629')",4238.867348
78,831 Liberty Rd,94952.0,1433000.0,1465130.0,3,4,83199,1956,2148,2.678,3.177,1203409.0,8.0,2021-03-13,"(38.26322937, '-122.700058')",21112.88484
79,115 Wisteria Cir,95425.0,464900.0,505630.0,2,2,5174,1998,1088,2.341,3.061,311240.0,64.0,2021-02-10,"(38.78951645, '-123.0193253')",10099.52035
80,9493 Argonne Way,95436.0,549000.0,470130.0,2,3,4486,1947,1222,2.341,3.061,225543.0,6.0,2021-03-15,"(38.49441147, '-122.9017334')",5666.361373
81,300 Bloomfield Rd,95472.0,899000.0,954608.0,3,2,34198,1949,1351,2.678,3.177,749700.0,8.0,2021-03-12,"(38.37657928, '-122.8067932')",16955.99649
82,1405 Big Barn Rd,95421.0,795000.0,838901.0,1,1,1684465,1979,672,2.47,3.113,248409.0,74.0,2021-02-09,"(38.56266403, '-123.1632309')",6863.779456
83,316 Vallejo St,94952.0,1950000.0,1980310.0,2,3,8886,1890,1248,2.678,3.177,671105.0,1.0,2021-03-19,"(38.23918152, '-122.6308899')",22010.45622
84,801 Quail Ct,95448.0,745000.0,767353.0,3,3,3484,1986,1369,2.47,3.113,512835.0,143.0,2021-02-09,"(38.61013031, '-122.8556137')",4620.999870000001
85,235 N Foothill Blvd,95425.0,595000.0,628579.0,2,4,7840,1977,1546,2.47,3.113,353076.0,129.0,2021-02-09,"(38.80437088, '-123.0261307')",11466.23083
86,18030 Carriger Rd,95476.0,4595000.0,4601573.0,4,3,474803,1992,4117,2.678,3.177,700150.0,3.0,2021-03-17,"(38.30705643, '-122.5123215')",14383.477780000001
87,3558 Southridge Dr,95403.0,1599000.0,,4,4,14135,2021,3139,2.678,3.177,270504.0,2.0,2021-03-18,"(38.48978043, '-122.7081604')",4422.097017
88,5329 San Luis Ave,95409.0,839900.0,852955.0,3,5,6599,1972,3002,2.47,3.113,413924.0,2.0,2021-03-18,"(38.475654600000006, '-122.6507111')",240.308256
89,19555 Old Cazadero Rd,95446.0,1199950.0,,2,2,3099729,2000,560,2.678,3.177,7199.7,8.0,2021-03-13,"(38.53455353, '-123.052681')",2065.1326329999997
90,18758 Canyon Rd,95476.0,1900000.0,1924358.0,3,3,280526,2009,2614,2.678,3.177,1739390.0,7.0,2021-03-14,"(38.30300522, '-122.5332565')",14446.177109999999
91,25600 Soda Springs Rd,95412.0,1200000.0,1302594.0,5,4,1638291,1989,4164,2.678,3.177,919016.0,158.0,2021-02-09,"(38.72941589, '-123.3560562')",21651.44901
92,343 Boyce St,95401.0,529000.0,577270.0,2,4,6534,1900,1813,2.341,3.061,351656.0,29.0,2021-03-18,"(38.44024277, '-122.7286987')",7414.3448180000005
93,26839 Walnut Ln,95425.0,1195000.0,809720.0,3,3,45737,1977,2400,2.678,3.177,739500.0,10.0,2021-03-10,"(38.77735138, '-122.9670563')",9981.697587999999
94,3880 Doris Murphy Ct,95465.0,529000.0,541285.0,1,2,2770,2000,1320,2.341,3.061,185677.0,170.0,2021-02-09,"(38.41068268, '-122.9502029')",13445.13875
95,13360 Arnold Dr,95442.0,625000.0,646826.0,1,1,5000,1940,690,2.47,3.113,616984.0,9.0,2021-03-11,"(38.36823273, '-122.5235901')",7512.697563
96,107 Anish Way,95492.0,775000.0,842912.0,4,5,6603,2007,2699,2.47,3.113,756648.0,11.0,2021-03-10,"(38.5369606, '-122.7892838')",9713.756062
97,29 Silvia Dr,95421.0,599000.0,650724.0,2,2,10402,1974,1592,2.47,3.113,494190.0,19.0,2021-03-01,"(38.48645401, '-123.0581055')",6753.796125
98,9250 Bennett Valley Rd,95442.0,1375000.0,1402550.0,3,3,83635,1978,1636,2.678,3.177,846600.0,39.0,2021-03-09,"(38.38392258, '-122.5602722')",5190.52109
99,312 Orangewood Dr,95448.0,530000.0,553565.0,2,2,3750,1965,1080,2.341,3.061,378554.0,43.0,2021-02-27,"(38.61114502, '-122.8485336')",5217.211976
100,19565 Highway 116,95462.0,375000.0,416666.0,1,1,3641,1948,460,2.341,3.061,234600.0,23.0,2021-02-25,"(38.47703552, '-122.9997711')",6424.048182
101,3 Temelec Cir,95476.0,499000.0,499004.0,2,2,7000,1965,1008,2.341,3.061,164801.0,186.0,2021-03-01,"(38.26571655, '-122.4891357')",19274.96535
102,65 Compass Close,95497.0,3595000.0,3797067.0,6,3,60548,2009,4600,2.678,3.177,1076000.0,187.0,2021-02-09,"(38.68845367, '-123.425354')",26519.922880000002
103,5144 Sharp Rd,94515.0,948000.0,939366.0,3,3,145054,1972,2640,2.678,3.177,711763.0,201.0,2021-03-16,"(38.55714798, '-122.6255798')",191.7663865
104,12139 Fiori Ln,95472.0,1195000.0,1324946.0,2,3,53143,1954,2124,2.678,3.177,598736.0,16.0,2021-03-04,"(38.39349747, '-122.9165955')",15668.671719999998
105,2125 Trinity Rd,95442.0,1795000.0,1812095.0,3,3,146361,1978,2352,2.678,3.177,282034.0,2.0,2021-03-18,"(38.38779831, '-122.4910202')",5858.175212
106,402 Twin Lakes Cir,95409.0,360000.0,388649.0,2,2,1742,1982,1172,2.341,3.061,400000.0,142.0,2021-03-16,"(38.427715299999996, '-122.5795288')",945.4352531
107,990 Maytum Ave,95472.0,769000.0,834723.0,2,3,7840,1948,1161,2.47,3.113,127753.0,8.0,2021-03-12,"(38.39052963, '-122.8226013')",17256.54619
108,122 E 4th St,95425.0,1795000.0,1952293.0,6,7,12305,1898,4300,2.678,3.177,351868.0,7.0,2021-03-13,"(38.80986786, '-123.0189896')",12234.02563
109,847 San Domingo Dr,95404.0,369000.0,380071.0,1,2,6743,1952,877,2.341,3.061,37405.0,8.0,2021-03-13,"(38.42221069, '-122.7038345')",6673.200537
110,4406 Bally Bunion Ln,95403.0,829000.0,849437.0,3,3,3040,2021,1909,2.47,3.113,109493.0,22.0,2021-02-26,"(38.488632200000005, '-122.7228546')",5706.757812
111,373 Else Way,95425.0,650000.0,700925.0,2,3,117176,1983,1344,2.47,3.113,296710.0,151.0,2021-02-09,"(38.82658768, '-123.0074463')",14317.882730000001
112,9880 Hillside Dr,95436.0,670000.0,721017.0,2,2,22598,1977,1248,2.47,3.113,576936.0,101.0,2021-03-13,"(38.50354004, '-122.9147339')",4338.742141
113,20822 River Blvd,95462.0,2499000.0,2498766.0,15,13,42253,1905,7100,2.678,3.177,14994.0,316.0,2021-02-09,"(38.46734619, '-123.0072479')",7597.057634999999
114,5270 Joaquin Dr,95409.0,990000.0,1005388.0,4,5,47044,1979,3131,2.678,3.177,335617.0,14.0,2021-03-06,"(38.48897552, '-122.6575165')",141.66299469999998
115,14450 Rockpile Rd,95441.0,2450000.0,2563795.0,3,3,1558141,1994,2958,2.678,3.177,1693771.0,37.0,2021-02-11,"(38.73750305, '-123.0896454')",3677.825994
116,7539 Monet Pl,94928.0,679000.0,699372.0,3,4,4647,1989,2038,2.47,3.113,324544.0,24.0,2021-03-15,"(38.33306885, '-122.6828308')",13251.286890000001
117,1016 Aleppo Dr,95409.0,1499000.0,1535775.0,3,4,11511,2005,3887,2.678,3.177,1350480.0,30.0,2021-02-28,"(38.45570755, '-122.6434097')",629.3581402000001
118,4844 Rockridge Ln,95404.0,1395000.0,1408285.0,3,5,26136,1959,3177,2.678,3.177,986921.0,31.0,2021-02-18,"(38.46763611, '-122.6866684')",2962.808732
119,525 Via Robles,94952.0,1485000.0,1506670.0,3,4,104978,1977,2674,2.678,3.177,980226.0,19.0,2021-03-01,"(38.25522614, '-122.714325')",22331.426
120,6320 Meadowridge Dr,95409.0,1100000.0,1114102.0,3,3,18025,1992,2159,2.678,3.177,950000.0,12.0,2021-03-09,"(38.44946289, '-122.6207428')",442.09732360000004
121,7 Oak Leaf Pl,95409.0,649900.0,655283.0,2,2,20926,1968,2053,2.47,3.113,401290.0,90.0,2021-02-09,"(38.44038773, '-122.5933228')",132.89824040000002
122,1808 Los Olivos Rd,95404.0,1275000.0,1268267.0,4,4,18295,2007,3395,2.678,3.177,900780.0,135.0,2021-02-16,"(38.46791077, '-122.6850662')",2820.870342
123,2726 Brush Creek Rd,95404.0,1495000.0,1497454.0,4,4,20081,2003,3450,2.678,3.177,1046231.0,43.0,2021-02-20,"(38.47610474, '-122.6794205')",2359.059183
124,444 York Ct,95476.0,1299900.0,1186432.0,3,3,7200,1977,1975,2.678,3.177,1118430.0,53.0,2021-02-22,"(38.2868576, '-122.4496384')",17647.526990000002
125,5899 Volkerts Rd,95472.0,2795000.0,3066982.0,5,4,91475,2005,4191,2.678,3.177,1493625.0,17.0,2020-12-04,"(38.34784317, '-122.7942276')",17750.00935
126,4251 Gravenstein Hwy S,95472.0,1995000.0,1999443.0,4,3,175982,2005,3794,2.678,3.177,1559463.0,74.0,2021-03-03,"(38.36141205, '-122.7737885')",15417.18411
127,870 Butler Ave,95407.0,1250000.0,1236111.0,2,3,145490,1963,1735,2.678,3.177,588276.0,198.0,2021-03-01,"(38.39858627, '-122.7438278')",10959.795479999999
128,457 Falling Star Ct,95409.0,1150000.0,1152561.0,3,3,6534,1996,2602,2.678,3.177,803010.0,81.0,2021-02-09,"(38.42988205, '-122.5948181')",945.0182264
129,11020 Peaks Pike Rd,95472.0,1400000.0,1551469.0,2,3,84942,1999,1860,2.678,3.177,230865.0,29.0,2021-02-19,"(38.42699814, '-122.9063873')",12301.189629999999
130,9029 Oak Trail Cir,95409.0,637950.0,644025.0,2,2,4,2006,1671,2.47,3.113,647700.0,6.0,2021-03-14,"(38.43230057, '-122.5804672')",721.9345198
131,434 Crestridge Pl,95409.0,975000.0,1019534.0,3,3,11800,1990,2614,2.678,3.177,671228.0,19.0,2021-03-01,"(38.42103577, '-122.5792618')",1575.187162
132,137 Valley Oaks Dr,95409.0,750000.0,755649.0,2,3,9300,1973,1870,2.47,3.113,487345.0,64.0,2021-02-09,"(38.43606186, '-122.5860672')",655.4857506
133,3393 Lake Park Ct,95403.0,1699000.0,1725409.0,5,5,27669,2018,4022,2.678,3.177,1524900.0,19.0,2021-03-02,"(38.47399139, '-122.7240753')",6098.160637
134,7309 Oak Leaf Dr,95409.0,539000.0,555172.0,2,2,7601,1974,1083,2.341,3.061,326528.0,14.0,2021-03-06,"(38.43831253, '-122.5857544')",454.62504860000007
135,6493 Meadowridge Ct,95409.0,770000.0,780774.0,2,3,4125,1977,1870,2.47,3.113,790599.0,39.0,2021-02-10,"(38.44651413, '-122.6097031')",55.12561731
136,1350 White Oak Dr,95409.0,1999999.0,1985713.0,5,5,39204,1985,3963,2.678,3.177,1456560.0,64.0,2021-02-25,"(38.42417526, '-122.5973434')",1456.6861720000002
137,19170 Mesquite Ct,95476.0,1798000.0,1739999.0,3,3,200811,1976,3100,2.678,3.177,487715.0,292.0,2021-03-11,"(38.29821777, '-122.5461884')",14796.99819
138,156 Oak Island Dr,95409.0,681000.0,694644.0,2,3,1742,1977,1970,2.47,3.113,417036.0,16.0,2021-03-04,"(38.43206787, '-122.5890884')",993.8138267999999
139,1010 Aleppo Dr,95409.0,1390000.0,1406777.0,3,4,11935,2003,3800,2.678,3.177,963214.0,21.0,2021-02-27,"(38.45598984, '-122.6435471')",649.7946576
140,1622 Peppergrass St,95403.0,760912.0,,3,4,3841,1982,2466,2.47,3.113,15830.0,3.0,2021-03-17,"(38.45910263, '-122.7719955')",10451.9475
141,3430 Hawks Beard,95476.0,4500000.0,4423124.0,4,3,360241,1988,3839,2.678,3.177,2808909.0,110.0,2021-02-09,"(38.2951355, '-122.5348892')",15279.628690000001
142,7581 Oak Leaf Dr,95409.0,799000.0,798069.0,2,3,8080,1975,1985,2.47,3.113,801794.0,271.0,2021-02-09,"(38.43276215, '-122.5835266')",901.2724987
143,2654 Hardies Ln,95403.0,750000.0,784692.0,1,3,43124,1947,1112,2.47,3.113,119996.0,9.0,2021-03-12,"(38.46511078, '-122.7338791')",7081.252598
144,727 Mendocino Ave,95401.0,2700000.0,2679567.0,7,6,15751,1902,4456,2.678,3.177,16200.0,38.0,2021-02-10,"(38.44651031, '-122.7181931')",6285.977323
145,105 Fairway Ct,95476.0,2319000.0,2348730.0,3,4,24829,1991,3809,2.678,3.177,1396108.0,19.0,2021-03-01,"(38.31538773, '-122.4932938')",13743.443519999999
146,3510 Alta Vista Ave,95409.0,2500000.0,2523431.0,4,4,23923,1971,5391,2.678,3.177,369379.0,27.0,2021-02-21,"(38.456863399999996, '-122.6875305')",3381.0001859999998
147,17317 Gehricke Rd,95476.0,3900000.0,3900026.0,4,4,59241,2020,3521,2.678,3.177,691718.0,37.0,2021-02-11,"(38.31832886, '-122.4379425')",14734.04501
148,505 Kinnybrook Dr,95452.0,6950000.0,7039102.0,5,5,583704,2001,5008,2.678,3.177,4512063.0,7.0,2021-03-13,"(38.41876602, '-122.5405655')",1777.5992399999998
