min_dist_zillow_napa,zillow_index
5737.176648,0
15690.6512,1
4455.711751,2
511.6578004,3
4602.809782,4
5918.606863,5
13605.79581,6
222.9669833,7
20006.92981,8
9473.025192,9
12725.70969,10
12207.93828,11
8651.77175,12
9893.768836,13
7683.521079,14
4079.370879,15
8226.766658,16
7794.723687,17
7568.383392,18
203.7281507,19
20191.4042,20
5542.497965,21
20525.51955,22
21850.9852,23
22444.17695,24
17763.98853,25
4684.608558,26
28988.87984,27
12034.61491,28
10890.09391,29
12290.38333,30
701.381019,31
10893.70686,32
11093.07404,33
1624.658024,34
13312.2326,35
9983.797321,36
7225.572045,37
13825.01185,38
5863.530007,39
8161.885584,40
5886.364737,41
5775.14852,42
14481.12427,43
17415.01027,44
12805.22066,45
22985.23176,46
20083.25889,47
6196.730461,48
13685.26721,49
494.641388,50
12598.5608,51
14382.02169,52
17330.27453,53
4357.165583,54
16621.87057,55
10426.72414,56
9191.867495,57
9663.282089,58
12461.15752,59
9684.276994,60
17826.31787,61
8032.06552,62
30016.03661,63
10630.96388,64
35017.37808,65
9190.150184,66
1221.257566,67
7583.234676,68
23024.74374,69
3491.74732,70
5369.139583,71
16949.70298,72
253.1632502,73
1952.428149,74
7926.168894,75
5362.46266,76
4238.867348,77
21112.88484,78
10099.52035,79
5666.361373,80
16955.99649,81
6863.779456,82
22010.45622,83
4620.99987,84
11466.23083,85
14383.47778,86
4422.097017,87
240.308256,88
2065.132633,89
14446.17711,90
21651.44901,91
7414.344818,92
9981.697588,93
13445.13875,94
7512.697563,95
9713.756062,96
6753.796125,97
5190.52109,98
5217.211976,99
6424.048182,100
19274.96535,101
26519.92288,102
191.7663865,103
15668.67172,104
5858.175212,105
945.4352531,106
17256.54619,107
12234.02563,108
6673.200537,109
5706.757812,110
14317.88273,111
4338.742141,112
7597.057635,113
141.6629947,114
3677.825994,115
13251.28689,116
629.3581402,117
2962.808732,118
22331.426,119
442.0973236,120
132.8982404,121
2820.870342,122
2359.059183,123
17647.52699,124
17750.00935,125
15417.18411,126
10959.79548,127
945.0182264,128
12301.18963,129
721.9345198,130
1575.187162,131
655.4857506,132
6098.160637,133
454.6250486,134
55.12561731,135
1456.686172,136
14796.99819,137
993.8138268,138
649.7946576,139
10451.9475,140
15279.62869,141
901.2724987,142
7081.252598,143
6285.977323,144
13743.44352,145
3381.000186,146
14734.04501,147
1777.59924,148
18143.31917,149
2710.319568,150
681.6662952,151
3469.099959,152
18350.44698,153
10686.10444,154
5730.760795,155
14592.55764,156
570.5200661,157
583.3952514,158
10557.03605,159
2581.520798,160
250.6071784,161
634.0397084,162
7915.798934,163
1322.267101,164
17571.60195,165
6220.053191,166
18554.70579,167
19423.39757,168
19937.50843,169
1838.499559,170
22097.40567,171
6533.717174,172
677.8491883,173
9136.25687,174
6363.153998,175
17351.24876,176
17450.63004,177
4179.565107,178
9887.541731,179
19779.10997,180
20592.65285,181
17904.67777,182
19065.92007,183
203.8165048,184
7812.084076,185
21478.30011,186
412.1183809,187
5398.21895,188
5208.85291,189
14368.59209,190
2522.646825,191
5436.288921,192
22872.77048,193
4262.83072,194
7254.83842,195
22142.11617,196
9118.081537,197
2796.069907,198
4456.48171,199
14542.87111,200
154.435596,201
413.0570378,202
17825.23206,203
6596.99894,204
14580.72139,205
687.288012,206
13331.55397,207
5297.357373,208
9169.935228,209
3032.039067,210
4537.193326,211
10732.88616,212
5665.632496,213
15089.35201,214
4687.154207,215
7510.153161,216
5690.833131,217
7712.25663,218
313.7267354,219
9600.343387,220
10040.09134,221
